Agency Name,Profile URL,Website URL,Description,City,State,Employee Count,Min Project Size,Average Rating,Review Count,Industry Focus,Clients List,Common Project Size,Client Size Distribution
Rankings.io,https://themanifest.com/company/rankingsio,https://rankings.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Rankings.io, a SEO company, is headquartered in Marion, Illinois. The midsize agency was established in 2013. Their team specializes in Search Engine Optimization, Pay Per Click, Advertising, and Social Media Marketing.","Marion, IL",IL,'50 - 249,"$5,000+",4.9,96,Legal 100%,Sibley Dolman Gipe,"$50K-$199K 31 projects
$10K-$49K 21 projects
$200K-$999K 12 projects","Small Business (<$10M) 20%
Midmarket ($10M - $1B) 80%"
Anderson Collaborative™,https://themanifest.com/company/anderson-collaborative,http://andersoncollaborative.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Anderson Collaborative™, an Advertising company, is headquartered in Miami, Florida; Fort Lauderdale, Florida; Dallas, Texas and New York, New York. The company provides Advertising, Public Relations, Market Research, Marketing Strategy, and more and has a midsize team.The company was founded in 2019.","Miami, FL",FL,'50 - 249,"$5,000+",4.9,23,"eCommerce 15%
Business services 10%
Consumer products & services 10%
Retail 10%
Advertising & marketing 5%
Arts, entertainment & music 5%
Automotive 5%
Education 5%
Energy & natural resources 5%",Mattel,"$10K-$49K 9 projects
<$10K 6 projects
$200K-$999K 2 projects","Small Business (<$10M) 10%
Midmarket ($10M - $1B) 80%
Enterprise (>$1B) 10%"
Starfish,https://themanifest.com/company/starfish,https://www.starfishco.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=clutch-nonpaid,"Starfish is a branding company. They are located in New York, New York; Boca Raton, Florida and Paris, France and have a small team. Their services include Branding, Advertising, Web Design, Content Marketing, and more. The agency was launched in 2002.","New York, NY",NY,'10 - 49,"$25,000+",4.9,48,"Legal 15%
Medical 15%
Business services 10%
Construction 10%
Consumer products & services 10%
Financial services 10%
Government 10%
Non-profit 10%
Real estate 10%",PwC,"$200K-$999K 12 projects
$50K-$199K 11 projects
$10K-$49K 5 projects","Small Business (<$10M) 20%
Midmarket ($10M - $1B) 40%
Enterprise (>$1B) 40%"
Taoti Creative,https://themanifest.com/company/taoti-creative,https://taoti.com/?utm_medium=referral&utm_medium=referral_profile&utm_source=clutch.co,"Taoti Creative is a midsize Advertising company. They provide Advertising, Branding, Web Development, Digital Strategy, and more and were established in 1996.","Washington, DC",DC,'50 - 249,"$25,000+",4.9,16,"Non-profit 45%
Government 15%
Business services 10%
Education 10%
Legal 10%
Retail 10%",DC Water,"$10K-$49K 6 projects
$50K-$199K 4 projects
$200K-$999K 2 projects","Small Business (<$10M) 40%
Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 10%"
The Media Captain,https://themanifest.com/company/media-captain,https://www.themediacaptain.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"The Media Captain is a SEO, web design, and PPC firm based in Columbus, Ohio. Founded in 2010, their team of 35 serves clients in the advertising, arts, and business services sectors. Services include SEO, social media, and digital advertising.","Columbus, OH",OH,'10 - 49,"$1,000+",4.9,44,"Advertising & marketing 10%
Arts, entertainment & music 10%
Business services 10%
Consumer products & services 10%
Financial services 10%
Information technology 10%
Media 10%
Medical 10%
Retail 10%
eCommerce 10%",Lasting Impressions,"<$10K 18 projects
$10K-$49K 17 projects
$50K-$199K 1 project",
Yes&,https://themanifest.com/company/yes-0,https://yesandagency.com,"Yes& (formerly Beyond Definition) is a branding agency located in Silver Spring, Md. Founded in 2003, Beyond Definition's team of around 20 specializes in mobile app development, graphic design, and web development. Beyond Definition works primarily with midmarket and small business clients in the business services, non-profit, and consumer products industries.","Alexandria, VA",VA,'50 - 249,"$100,000+",4.8,23,"Government 50%
Non-profit 40%
Consumer products & services 10%","AFCEA
AKIMA
ASAE
Community College of Philadelphia","$50K-$199K 6 projects
$200K-$999K 6 projects
$10K-$49K 4 projects","Midmarket ($10M - $1B) 70%
Enterprise (>$1B) 30%"
Brighter Click,https://themanifest.com/company/brighter-click,https://www.brighterclick.com,"Brighter Click is a small social media marketing company launched in 2019. Their team focuses on Social Media Marketing, Advertising, Market Research, Marketing Strategy, and more. The firm is headquartered in Raleigh, North Carolina.","Raleigh, NC",NC,'2 - 9,"$5,000+",5,18,"Automotive 10%
Consumer products & services 10%
Education 10%
Energy & natural resources 10%
Hospitality & leisure 10%
Manufacturing 10%
Media 10%
Medical 10%
Retail 10%
eCommerce 10%",,"$10K-$49K 5 projects
<$10K 4 projects
$50K-$199K 2 projects","Small Business (<$10M) 30%
Midmarket ($10M - $1B) 35%
Enterprise (>$1B) 35%"
Laser Sight Digital,https://themanifest.com/company/laser-sight-digital,https://lasersightdigital.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Established in 2016, Laser Sight Digital is a PPC company. They are based in Kent, Washington and have a small team. The company offers Pay Per Click, Advertising, Email Marketing, and Ecommerce Marketing.","Kent, WA",WA,'10 - 49,"$1,000+",5,18,"eCommerce 50%
Consumer products & services 10%
Information technology 10%
Manufacturing 10%
Medical 10%
Retail 10%",,"$50K-$199K 6 projects
<$10K 3 projects
$10K-$49K 3 projects","Small Business (<$10M) 40%
Midmarket ($10M - $1B) 45%
Enterprise (>$1B) 15%"
YB Marketing,https://themanifest.com/company/yb-marketing,https://www.yakimabranding.com,"YB Marketing is a SEO company. Established in 2003, the team specializes in Search Engine Optimization, Social Media Marketing, Advertising, Branding, and more. Their small agency is Scottsdale, Arizona-based.","Scottsdale, AZ",AZ,'2 - 9,"$1,000+",5,30,"Manufacturing 30%
Retail 30%
Consumer products & services 20%
Education 20%",Sonsio,"<$10K 14 projects
$10K-$49K 11 projects","Small Business (<$10M) 80%
Midmarket ($10M - $1B) 20%"
Big Red Jelly,https://themanifest.com/company/big-red-jelly,https://bigredjelly.com/landing-page-clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Big Red Jelly, a branding company, was launched in 2017. Their small team is headquartered in Provo, Utah. The firm specializes in Branding, Web Design, Advertising, Digital Strategy, and more.","Provo, UT",UT,'10 - 49,"$1,000+",4.8,157,"Advertising & marketing 10%
Business services 10%
Consumer products & services 10%
Dental 10%
Financial services 10%
Food & Beverage 10%
Medical 10%
Other industries 10%
Real estate 10%
eCommerce 10%",Landform Design Group,"<$10K 110 projects
$10K-$49K 27 projects
1 project","Small Business (<$10M) 20%
Midmarket ($10M - $1B) 60%
Enterprise (>$1B) 20%"
Bad Rhino Inc.,https://themanifest.com/company/bad-rhino,http://badrhinoinc.com/?utm_source=clutch.co&utm_medium=referral,"Bad Rhino Inc. Is a West Chester, Pennsylvania-based Advertising company. The firm specializes in Advertising, Social Media Marketing, Digital Strategy, Email Marketing, and more and is small.The firm was established in 2011.","West Chester, PA",PA,'2 - 9,"$5,000+",4.8,25,"Consumer products & services 25%
Business services 15%
Legal 15%
Hospitality & leisure 10%
Real estate 10%
eCommerce 10%
Gambling 5%
Non-profit 5%
Other industries 5%",Landvest Christie's,"$10K-$49K 9 projects
$50K-$199K 5 projects
<$10K 3 projects","Small Business (<$10M) 80%
Midmarket ($10M - $1B) 15%
Enterprise (>$1B) 5%"
fishbat Media,https://themanifest.com/company/fishbat-media,https://fishbat.com/clutch-digital-marketing-agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Fishbat Media is a SEO company launched in 2011. The company offers Search Engine Optimization, Pay Per Click, Advertising, Branding, and more and has a small team.","New York, NY",NY,'10 - 49,"$1,000+",4.8,16,"Business services 30%
Consumer products & services 25%
Real estate 10%
Education 5%
Energy & natural resources 5%
Financial services 5%
Hospitality & leisure 5%
Manufacturing 5%
Medical 5%
Retail 5%",Allstate,"$50K-$199K 8 projects
<$10K 2 projects
1 project","Small Business (<$10M) 15%
Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 35%"
Neon Ambition,https://themanifest.com/company/neon-ambition,http://www.neonambition.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Neon Ambition is a SEO company. Launched in 2013, the small company is in Austin, Texas; New York, New York and Shoreline, Washington. Their team provides Search Engine Optimization, Advertising, Pay Per Click, Digital Strategy, and more.","Austin, TX",TX,'10 - 49,"$1,000+",4.9,21,Legal 100%,issuu,"$50K-$199K 8 projects
$10K-$49K 5 projects
<$10K 2 projects","Small Business (<$10M) 40%
Midmarket ($10M - $1B) 40%
Enterprise (>$1B) 20%"
Big Day the Agency,https://themanifest.com/company/big-day-agency,https://bigdaytheagency.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Big Day the Agency is an Advertising company established in 2021. They are in San Diego, California and have a small team. Their services include Advertising, Branding, Social Media Marketing, Email Marketing, and more.","San Diego, CA",CA,'10 - 49,"$25,000+",5,9,"Hospitality & leisure 15%
Medical 15%
Arts, entertainment & music 10%
Automotive 10%
Business services 10%
Consumer products & services 10%
Gambling 10%
Other industries 10%
Retail 10%",Royal Caribbean International,"$50K-$199K 3 projects
$10K-$49K 2 projects
$200K-$999K 1 project","Small Business (<$10M) 10%
Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 40%"
Caffeine Marketing,https://themanifest.com/company/caffeine-marketing-0,http://caffeinemarketing.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Social media marketing agency Caffeine Marketing is located in Atlanta, Georgia. Launched in 2017, the small team focuses on Social Media Marketing, Pay Per Click, Search Engine Optimization, Advertising, and more.","Atlanta, GA",GA,'10 - 49,"$5,000+",5,32,"Information technology 45%
Financial services 20%
Business services 10%
Advertising & marketing 5%
Education 5%
Medical 5%
Other industries 5%
Real estate 5%",Bizspeed,"<$10K 13 projects
$10K-$49K 11 projects
$50K-$199K 2 projects","Small Business (<$10M) 50%
Midmarket ($10M - $1B) 50%"
thunder::tech,https://themanifest.com/company/thundertech,https://www.thundertech.com/?utm_source=clutch&utm_medium=referral,"Thunder::tech, an Advertising company, is based in Cleveland, Ohio; Detroit, Michigan and Chicago, Illinois. The midsize company was established in 1999. Their team provides Advertising, Branding, Marketing Strategy, Social Media Marketing, and more.","Cleveland, OH",OH,'50 - 249,"$10,000+",4.7,15,"Business services 25%
Consumer products & services 20%
Hospitality & leisure 20%
Manufacturing 20%
Education 15%","Destination Cleveland
Palmer Holland
PSS","$50K-$199K 3 projects
$10K-$49K 2 projects
$200K-$999K 1 project","Midmarket ($10M - $1B) 65%
Enterprise (>$1B) 35%"
Hunter Digital Marketing,https://themanifest.com/company/hunter-digital-marketing,https://hunterdigitalmarketing.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Hunter Digital Marketing is a social media marketing firm. Launched in 2010, the team focuses on Social Media Marketing, Pay Per Click, Advertising, Marketing Strategy, and more. Their small company is based in New York, New York; Porta Westfalica, Germany; London, England and Bonneuil-les-Eaux, France.","New York, NY",NY,'10 - 49,"$5,000+",4.9,13,"eCommerce 25%
Retail 15%
Beauty 10%
Business services 10%
Education 10%
Food & Beverage 10%
Manufacturing 10%
Sports 10%","Adidas - Sporting Goods
Color Factory - Experiential Museum
Ibkul - Athleisure Apparel
Krimson Klover - Fashion/Apparel","$10K-$49K 5 projects
$50K-$199K 1 project","Small Business (<$10M) 20%
Midmarket ($10M - $1B) 70%
Enterprise (>$1B) 10%"
Heyday Marketing,https://themanifest.com/company/heyday-marketing,http://www.heydaymarketing.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Heyday Marketing is an Advertising company in Coral Gables, Florida. They focus on Advertising, Search Engine Optimization, and Web Design and were established in 2015.","Coral Gables, FL",FL,'10 - 49,"$1,000+",5,7,"Automotive 35%
Medical 35%
Business services 15%
Dental 15%",South Dade Toyota,"<$10K 3 projects
$10K-$49K 3 projects","Small Business (<$10M) 50%
Midmarket ($10M - $1B) 50%"
TAVO Media Group,https://themanifest.com/company/tavo-media-group,https://tavomediagroup.com/clutch-agency-lp?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"TAVO Media Group is a small advertising company. Headquartered in San Diego, California, the firm was founded in 2012. Their services include advertising, marketing strategy, branding, search engine optimization, and more.","San Diego, CA",CA,'10 - 49,"$5,000+",4.9,9,"Business services 25%
Medical 20%
Consumer products & services 15%
Financial services 10%
Hospitality & leisure 10%
Manufacturing 10%
eCommerce 10%",,"$10K-$49K 4 projects
<$10K 3 projects","Small Business (<$10M) 25%
Midmarket ($10M - $1B) 65%
Enterprise (>$1B) 10%"
Antonio & Paris,https://themanifest.com/company/antonio-paris,https://antonioandparis.com/connect/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Antonio & Paris is a branding agency based in Los Angeles, California and Ciudad de México, Mexico. The small agency was established in 2003. Their services include Branding, Advertising, Market Research, and Marketing Strategy.","Los Angeles, CA",CA,'10 - 49,"$25,000+",4.8,6,"Arts, entertainment & music 10%
Automotive 10%
Consumer products & services 10%
Government 10%
Hospitality & leisure 10%
Medical 10%
Telecommunications 10%
eCommerce 10%
Education 5%",,"$50K-$199K 1 project
$200K-$999K 1 project
$1,000,000-$9,999,999 1 project","Small Business (<$10M) 55%
Midmarket ($10M - $1B) 30%
Enterprise (>$1B) 15%"
E29 Marketing,https://themanifest.com/company/e29-marketing,https://e29marketing.com/top-marketing-agency-clutch?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"E29 Marketing is a Marketing Strategy company launched in 2017. They are located in Mill Valley, California and Mill Valley, California and have a small team. Their services include Marketing Strategy, Advertising, Digital Strategy, Social Media Marketing, and more.","Mill Valley, CA",CA,'10 - 49,"$50,000+",4.9,12,"Consumer products & services 50%
eCommerce 20%
Medical 15%
Retail 15%",,"$200K-$999K 2 projects
<$10K 1 project
$10K-$49K 1 project","Small Business (<$10M) 25%
Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 25%"
RXM Creative,https://themanifest.com/company/rxm-creative,http://www.rxmcreative.com,"RXM Creative was started in 2013 in New York City. The small team of fewer than 10 employees specializes in advertising, content marketing, and social media marketing. They pride themselves on their strategy and creativity.","New York, NY",NY,'10 - 49,"$10,000+",4.7,11,"Retail 50%
Hospitality & leisure 15%
Advertising & marketing 5%
Arts, entertainment & music 5%
Financial services 5%
Information technology 5%
Non-profit 5%
Supply Chain, Logistics, and Transport 5%
eCommerce 5%",Ray-Ban,"$50K-$199K 6 projects
$10K-$49K 2 projects
$200K-$999K 2 projects","Small Business (<$10M) 70%
Midmarket ($10M - $1B) 20%
Enterprise (>$1B) 10%"
Cutwater,https://themanifest.com/company/cutwater,https://www.cutwatersf.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Based in San Francisco, Cutwater is a full-service advertising agency whose name derives from their vision – they help clients find their cutwater, or the clearest manifestation of their company's vision. Founded in 2007, its team of nearly 50 specializes in advertising, SEO, and social media marketing services among other marketing efforts.","San Francisco, CA",CA,'10 - 49,"$100,000+",4.8,5,"Consumer products & services 35%
Financial services 35%
Business services 10%
Other industries 10%
Retail 10%",Hartz,"$1,000,000-$9,999,999 1 project",
Daniel Brian Advertising,https://themanifest.com/company/daniel-brian-advertising,https://danielbrian.com/contact-us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Daniel Brian Advertising, an Advertising company, is headquartered in Rochester, Michigan; Los Angeles, California; Syosset, New York and Frisco, Texas. The midsize company was founded in 1992. Their services include Advertising, Branding, Media Planning & Buying, Marketing Strategy, and more.","Rochester, MI",MI,'50 - 249,"$250,000+",4.9,4,"Retail 42%
Medical 25%
Consumer products & services 10%
Education 10%
Advertising & marketing 5%
Financial services 5%
Dental 3%",Consumers Energy,"<$10K 1 project
$50K-$199K 1 project
$1,000,000-$9,999,999 1 project","Small Business (<$10M) 10%
Midmarket ($10M - $1B) 65%
Enterprise (>$1B) 25%"
Trivium Group - Amazon Agency,https://themanifest.com/company/trivium-group-amazon-agency,https://triviumco.com/get-free-audit/?utm_campaign=clutch-profile-agency-review-site&utm_source=clutch - agency review site,"Trivium Group - Amazon Agency is a Marketing Strategy company. Headquartered in Los Angeles, California, their midsize team specializes in Marketing Strategy, Pay Per Click, and Advertising. The company was founded in 2021.","Los Angeles, CA",CA,'50 - 249,"$1,000+",5,40,Advertising & marketing 100%,,"$10K-$49K 9 projects
<$10K 7 projects
$50K-$199K 7 projects","Small Business (<$10M) 85%
Midmarket ($10M - $1B) 15%"
Finden Marketing,https://themanifest.com/company/finden-marketing,http://www.findenmarketing.com,"Finden Marketing is a web design agency launched in 2020. The small Duluth, Minnesota-based team specializes in Web Design, Advertising, Social Media Marketing, Pay Per Click, and more.","Duluth, MN",MN,'10 - 49,"$1,000+",5,13,"Business services 25%
Consumer products & services 25%
eCommerce 25%
Legal 15%
Hospitality & leisure 10%","Aspirus Health
Rollerblade
NorthShore Inline Marathon
Sawyer County","<$10K 8 projects
$10K-$49K 3 projects","Small Business (<$10M) 65%
Midmarket ($10M - $1B) 30%
Enterprise (>$1B) 5%"
SeedX Inc.,https://themanifest.com/company/seedx,https://seedx.us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"SeedX Inc., an Ecommerce Marketing company, was launched in 2015. They are based in Los Angeles, California; Austin, Texas and New York, New York and have a midsize team. Their services include Ecommerce Marketing, Advertising, Search Engine Optimization, Web Design, and more.","Los Angeles, CA",CA,'50 - 249,"$5,000+",5,22,"Business services 30%
Consumer products & services 25%
eCommerce 25%
Non-profit 10%
Other industries 10%","American Marketing Association
1-800-Flowers","<$10K 9 projects
$10K-$49K 4 projects
$200K-$999K 2 projects","Small Business (<$10M) 30%
Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 20%"
Theory SF,https://themanifest.com/company/theory-sf,http://www.theorysf.com/?utm_source=clutch.co&utm_medium=referral,"Theory SF is a San Francisco-based creative agency. The agency was founded in 2015 and has a team of 10 that provides a variety of services including branding, marketing strategy, web design, advertising, digital strategy, and more.","San Francisco, CA",CA,'2 - 9,"$25,000+",4.9,26,"Advertising & marketing 50%
Information technology 30%
Hospitality & leisure 20%",NetGear,"$10K-$49K 6 projects
$50K-$199K 6 projects
$200K-$999K 4 projects","Small Business (<$10M) 50%
Midmarket ($10M - $1B) 25%
Enterprise (>$1B) 25%"
Grounds for Promotion,https://themanifest.com/company/grounds-promotion,https://groundsforpromotion.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Grounds for Promotion is an Advertising company. Their small team is located in Boulder, Colorado. Their services include Advertising, Social Media Marketing, Search Engine Optimization, Pay Per Click, and more. The firm was founded in 2012.","Boulder, CO",CO,'2 - 9,"$5,000+",5,9,"Business services 40%
Construction 25%
GPS, Navigation & GIS 15%
Information technology 10%
Non-profit 10%",,"$10K-$49K 5 projects
$50K-$199K 2 projects
<$10K 1 project","Small Business (<$10M) 30%
Midmarket ($10M - $1B) 40%
Enterprise (>$1B) 30%"
Bear Fox Marketing,https://themanifest.com/company/bear-fox-marketing,https://bearfoxmarketing.com/,"Bear Fox Marketing is a SEO company. They are based in Meridian, Idaho and have a small team. Their services include Search Engine Optimization, Pay Per Click, Social Media Marketing, Content Marketing, and more. The firm was launched in 2017.","Meridian, ID",ID,'10 - 49,"$1,000+",4.9,23,"Home Services 25%
Business services 10%
Construction 10%
HVAC 10%
Manufacturing 10%
Roofing 10%
Consumer products & services 5%
Energy & natural resources 5%
Financial services 5%",,"$10K-$49K 10 projects
$50K-$199K 4 projects
<$10K 2 projects","Small Business (<$10M) 70%
Midmarket ($10M - $1B) 20%
Enterprise (>$1B) 10%"
